restaurant,Asian Cuisine,Dining Experience,Food Quality,Service Speed,Staff Friendliness,Value for Money,Western Cuisine,avg_rating,review_count,Asian Cuisine_text,Dining Experience_text,Food Quality_text,Service Speed_text,Staff Friendliness_text,Value for Money_text,Western Cuisine_text
103 Coffee Workshop,3.0,3.0,4.799889,3.0,3.0,4.251927,3.0,3.9444444444444446,18,No specific mentions.,No specific mentions.,Very nice coffee and food. Service was great! Waffle flavour and combination was great and must try!,"Overall no complaints,mocha ice blended have to improve,is little too sweet but they do have a bottle of water every table so its okie.",No specific mentions.,"I have been visiting this café quite frequently. I really enjoyed the food and ambiance. The menu is pretty quirky and the portion of the meal is rather huge. Besides that, the staffs were really frie...",No specific mentions.
1919 Restaurant,3.0,3.0,4.885951,3.0,4.937846,4.5234714,3.0,4.212765957446808,47,No specific mentions.,No specific mentions.,"I love the ambience of the restaurant - beautifully decorated, quiet and giving me a sense of peacefulness. Food was served relatively fast. We ordered deep fried chicken in salted egg, Filipino eggpl...",We got our table pretty fast. Then the waiting began: first for ordering our food and then another 90 minutes for actually getting it. And the food was definitely not worth the wait. But it was not on...,Brought our 4 adult kids visiting from overseas there and everyone loved it. The food is very tasty and fresh and the service is very good too. We will certainly go back.,Had dinner here yesterday with husband and 19 year old son. We were helped with choosing from the menu with great explanation of dishes and I’m happy to say had a delicious meal. Our host was lovely a...,No specific mentions.
4 Fingers Crispy Chicken,3.0,3.0,3.9425948,3.0,3.0,3.9264486,3.0,3.6176470588235294,34,No specific mentions.,No specific mentions.,the 4 fingers in the KLCC food court was great. The chicken burgers had an Asian flair and were extremely tasty. The chips were good and I got them with seaweed and chilli flakes.,I’ve been staying in Cititel for the past few days (since 28th Dec 2019). Mid Valley Mega Mall is the very convenient to us so we have been doing a lot of shopping and eating there. This evening we de...,really amazing chicken. it's some of the best fried chicken i ever had. also the burger is absolutely fantastic! my new favorite fast food restaurant,By far some of the best chicken I've ever tasted and the prices aren't that high the fries were really good too,No specific mentions.
443 Bar Lounge,3.0,3.0,4.0869727,3.0,4.9623995,4.1194563,3.0,3.953846153846154,65,No specific mentions.,No specific mentions.,"This restaurant is in Westine hotel Kuala Lumpur. It has bar at lower level dining is on upper section.  We like their signature dish steak that includes angus steak, wagyu beef cooked in three differ...",No specific mentions.,"Food its amazing.Drinks as ussual never dissappointing,good client service & entertaining music to enjoy the night.Really happy to go any time i can.","Warm welcome by Reg upon stepping into the bar. Gave us some very good recommendations on the drinks & food, thank u so much! Ambience is lively & able to converse without having to be at the top of y...",No specific mentions.
7TNine Bar & Kitchen,3.0,3.0,3.0,3.054694,4.934928,4.5120378,3.0,3.966666666666667,30,No specific mentions.,No specific mentions.,I had my dinner in this resturant today orderd daal makhani was worst naan was very ordenry the fried rice very normal like mamak shop . The chiken kadai i cant tell the taste its tasteless . I highly...,"I was here early this year with a small group, evening. The restaurant Manager, Mr. Almeida and his team of staffs were absolutely attentive to each and every table seated. They read their patrons bod...","Very friendly staff. Gorgeous food! Great music. Would highly recommend! Food was delicious...Would recommend the masala, really delicious.",We popped in on a Sunday afternoon and the place had a great atmosphere. Beers and eats .. Perfect Sunday session! So good we came back for a sit down dinner in the separate dining area the next night...,No specific mentions.
ABC Bistro Cafe,3.0,3.0,4.547093,3.0,3.0,4.423831,3.0,3.7903225806451615,62,"Took a while to get attention of the staff. Ordered Teh Tarik and Roti Telur. Teh came but they forgot my roti. After finish my teh, asked about my roti telur which came 5 min later. Place is popular,...",No specific mentions.,I loved the Maggi goreng served with a mata lembu (sunny side up). It was excellent as the texture and taste was just on point! Most mamak restaurants in KL often cooked mushy and tasteless renditions...,"Been here 3 times and each time we're here the guy behind the food counter is always shouting at all the waiters..he's like the gangster in the restaurant..and today when i was there, i ordered chicke...",AMAZING kopi and teh c. AMAZING kambing (goat) biryani. AMAZING roti and curry and cheese naan. And of course AMAZING staff. Thank you for the delicious food!!!,I ordered roti banjir and a iced black coffee. Yummy food and good service! And cheap! Easy to find too. A good experience overall,No specific mentions.
ABC Foods Corner,3.0,3.0,4.6401134,3.0,3.0,3.9747672,3.0,4.0,15,No specific mentions.,No specific mentions.,"This was a mouth watering food extravaganza.OMG ......Truly some of the best Indian cuisine I've ever had and tasted.The staff greeted me outside when i was viewing the menu and was very polite, frien...",No specific mentions.,We went to have lunch at this restaurant. This place is very clean and the staff are very efficient and quick. The lunch rice and curry was really amazing. My wife had Sri Lanka lump rice and we also ...,We were in the area during the day and came across this authentic Indian restaurant. We decided to come back that night and had a fantastic meal which was superbly cooked and offered excellent value f...,No specific mentions.
AQUA Restaurant & Bar,3.0,3.0,4.961501,2.1371202,4.9559197,4.565516,3.0,4.546875,128,No specific mentions.,"One of the most memorable lunch that I have with family, with great SOP applied in this post Covid-19 environment. A special shoutout to the team here for the hospitality, especially the great leaders...","Must try would be the fish and chips, crispy batter, flaky and moist on the inside! not forgetting their pizzas which were equally delicious. Complementing the whole experience was their friendly mana...","I'd been really looking forwarding to trying out this place after a long few hours of Christmas shopping. The reviews certainly were very good..However, we just happened to have picked an evening when...",The staffs were really friendly and helpful. We definitely had an awesome birthday celebration! Thanks for the excellent service!,Enjoyed this great restaurant while lounging at the pool of MO. My children said it was the best pizzas they enjoyed in their life. I was very happy to see that menu is finally extended and that salad...,No specific mentions.
ATAS,3.0,3.0,3.4184632,3.0,4.955269,4.327205,3.0,3.8857142857142857,35,No specific mentions.,"I'll summarize the dining experience in one sentence: instagrammable food presentation, nice ambience but terrible flavors. There was nothing special or unique about the recipes and even then, they we...","Excellent mid tier restaurant within the RuMa hotel serving Sunday buffet brunch and afternoon teas. Buffet was pretty good, with additional items on offer like eggs, waffles with fried chicken 🦃, sli...","Updated review based on 2nd visit (8/11/2020)After receiving our feedback, we were invited by the Food & Beverage manager for …MoreUpdated review based on 2nd visit (8/11/2020)After receiving our feed...","A Delight. Fantastic food, excellent food. This Malaysian eatery with a modern twist is the best restaurant we found in Malaysia and it will stay in our memory for a long time. The prices are reasonab...","I love this restaurant so much. It is so ATAS and quintessentially Malaysian. It feels like I'm stepping into a real hawker centre. It's a world class hotel , and I especially love its tea time.",No specific mentions.
ATAS at The RuMa Hotel & Residences,3.0,4.9811287,4.943653,2.9502468,4.9653716,4.8721123,3.0,4.780487804878049,41,No specific mentions.,It was my first time dining at Atas Modern Malaysian Eatery at the Ruma hotel and all I can say is it was one of the most amazing time I’ve had in a long time! The food was great and the service was a...,We’ve been here a few times for their set lunches and always loved the menus they offered. Booked their two year anniversary truffle celebration set dinner to celebrate our own anniversary at the rest...,"Had an early birthday dinner with friends and cant wait to go back to try more! Kudos to Bell,Muiz,Nurul and Vincent for taking care of all our needs and reccomending the best dishes. We will be back!...",We had an awesome 3 course lunch here. It was delicious and value for money. The bread served was absolutely delicious that we had 2 servings! The restaurant is beautiful and staff is polite. Will def...,Great meal overall!! Beautifully design hotel! Food was pretty creative and on the elegant and light side!!,No specific mentions.
